# DO,NO3,SO4 (all uM)
68.39702661,99.49285714,489.56875
88.78267373,116.8,494.2375
66.60749781,131.8714286,500.14375
26.88515441,128.55,459.84375
16.42152165,132.5571429,484.8
9.842783948,109.6142857,469.20625
9.849311505,74.18571429,478.0875
9.455234321,41.08571429,455.875
11.71332331,18.60714286,342.11875
10.01154987,4.214285714,433.7125
10.4694922,0.992857143,391.75625
10.44045217,0.614285714,374.90625
11.13174997,1.15,342.55
12.62898177,1.214285714,325.26875
11.67665856,1.128571429,335.49375
14.68768826,0.714285714,286.2875
13.6333885,0.942857143,264.0625
